Nama File =file1.dat
Time Sampling =0.0005
1  0.0005 0.000000
2  0.0010 2.080000
3  0.0015 0.300000
4  0.0020 1.280000
5  0.0025 1.300000
6  0.0030 1.340000
7  0.0035 1.340000
8  0.0040 1.380000
9  0.0045 1.420000
10  0.0050 1.440000
11  0.0055 1.480000
12  0.0060 1.500000
13  0.0065 1.520000
14  0.0070 1.560000
15  0.0075 1.560000
16  0.0080 1.600000
17  0.0085 1.640000
18  0.0090 1.660000
19  0.0095 1.700000
20  0.0100 1.720000
21  0.0105 1.740000
22  0.0110 1.780000
23  0.0115 1.800000
24  0.0120 1.820000
25  0.0125 1.840000
26  0.0130 1.880000
27  0.0135 1.880000
28  0.0140 1.920000
29  0.0145 1.980000
30  0.0150 2.000000
31  0.0155 2.020000
32  0.0160 2.060000
33  0.0165 2.100000
34  0.0170 2.120000
35  0.0175 2.160000
36  0.0180 2.180000
37  0.0185 2.220000
38  0.0190 2.220000
39  0.0195 2.280000
40  0.0200 2.280000
41  0.0205 2.320000
42  0.0210 2.340000
43  0.0215 2.380000
44  0.0220 2.420000
45  0.0225 2.440000
46  0.0230 2.480000
47  0.0235 2.480000
48  0.0240 2.500000
49  0.0245 2.520000
50  0.0250 5.100000
51  0.0255 0.300000
52  0.0260 2.620000
53  0.0265 2.640000
54  0.0270 2.680000
55  0.0275 2.720000
56  0.0280 2.720000
57  0.0285 2.760000
58  0.0290 2.780000
59  0.0295 2.800000
60  0.0300 2.840000
61  0.0305 2.860000
62  0.0310 2.900000
63  0.0315 2.900000
64  0.0320 2.920000
65  0.0325 2.960000
66  0.0330 2.960000
67  0.0335 3.020000
68  0.0340 3.040000
69  0.0345 3.060000
70  0.0350 3.080000
71  0.0355 3.100000
72  0.0360 3.140000
73  0.0365 3.160000
74  0.0370 3.180000
75  0.0375 3.200000
76  0.0380 3.220000
77  0.0385 3.240000
78  0.0390 3.280000
79  0.0395 3.280000
80  0.0400 3.300000
81  0.0405 3.320000
82  0.0410 3.360000
83  0.0415 3.380000
84  0.0420 3.400000
85  0.0425 3.400000
86  0.0430 3.420000
87  0.0435 3.400000
88  0.0440 3.460000
89  0.0445 3.480000
90  0.0450 3.500000
91  0.0455 3.520000
92  0.0460 3.520000
93  0.0465 3.540000
94  0.0470 3.560000
95  0.0475 3.560000
96  0.0480 3.580000
97  0.0485 3.600000
98  0.0490 3.620000
99  0.0495 3.620000
100  0.0500 3.640000
101  0.0505 3.660000
102  0.0510 3.660000
103  0.0515 3.700000
104  0.0520 3.680000
105  0.0525 3.700000
106  0.0530 3.720000
107  0.0535 3.720000
108  0.0540 3.740000
109  0.0545 3.760000
110  0.0550 3.760000
111  0.0555 3.780000
112  0.0560 3.780000
113  0.0565 3.780000
114  0.0570 3.800000
115  0.0575 3.800000
116  0.0580 3.820000
117  0.0585 3.800000
118  0.0590 3.820000
119  0.0595 3.820000
120  0.0600 3.820000
121  0.0605 3.820000
122  0.0610 3.820000
123  0.0615 3.820000
124  0.0620 3.820000
125  0.0625 0.300000
126  0.0630 3.860000
127  0.0635 3.860000
128  0.0640 3.840000
129  0.0645 3.860000
130  0.0650 3.840000
131  0.0655 3.860000
132  0.0660 3.840000
133  0.0665 3.840000
134  0.0670 3.860000
135  0.0675 3.820000
136  0.0680 3.820000
137  0.0685 3.820000
138  0.0690 3.820000
139  0.0695 3.800000
140  0.0700 3.800000
141  0.0705 3.800000
142  0.0710 3.820000
143  0.0715 3.800000
144  0.0720 3.800000
145  0.0725 3.780000
146  0.0730 3.800000
147  0.0735 3.780000
148  0.0740 3.760000
149  0.0745 3.760000
150  0.0750 3.740000
151  0.0755 3.740000
152  0.0760 3.740000
153  0.0765 3.720000
154  0.0770 3.720000
155  0.0775 3.700000
156  0.0780 3.680000
157  0.0785 3.660000
158  0.0790 3.640000
159  0.0795 3.640000
160  0.0800 3.620000
161  0.0805 3.600000
162  0.0810 3.600000
163  0.0815 3.580000
164  0.0820 3.540000
165  0.0825 3.540000
166  0.0830 3.540000
167  0.0835 3.500000
168  0.0840 3.500000
169  0.0845 3.480000
170  0.0850 3.460000
171  0.0855 3.440000
172  0.0860 3.440000
173  0.0865 3.400000
174  0.0870 3.380000
175  0.0875 3.380000
176  0.0880 3.340000
177  0.0885 3.340000
178  0.0890 3.300000
179  0.0895 3.280000
180  0.0900 3.260000
181  0.0905 3.240000
182  0.0910 3.220000
183  0.0915 3.180000
184  0.0920 3.180000
185  0.0925 3.180000
186  0.0930 3.140000
187  0.0935 3.100000
188  0.0940 3.080000
189  0.0945 3.060000
190  0.0950 3.040000
191  0.0955 3.020000
192  0.0960 3.000000
193  0.0965 2.980000
194  0.0970 2.960000
195  0.0975 2.920000
196  0.0980 2.880000
197  0.0985 2.860000
198  0.0990 2.840000
199  0.0995 2.800000
200  0.1000 2.760000
201  0.1005 2.740000
202  0.1010 2.720000
203  0.1015 2.700000
204  0.1020 2.660000
205  0.1025 2.660000
206  0.1030 2.620000
207  0.1035 2.580000
208  0.1040 2.560000
209  0.1045 2.520000
210  0.1050 2.500000
211  0.1055 2.480000
212  0.1060 2.460000
213  0.1065 2.420000
214  0.1070 2.400000
215  0.1075 2.380000
216  0.1080 2.340000
217  0.1085 2.320000
218  0.1090 2.280000
219  0.1095 2.260000
220  0.1100 2.220000
221  0.1105 2.200000
222  0.1110 2.160000
223  0.1115 2.140000
224  0.1120 2.100000
225  0.1125 2.080000
226  0.1130 2.060000
227  0.1135 2.020000
228  0.1140 2.000000
229  0.1145 1.960000
230  0.1150 1.940000
231  0.1155 1.900000
232  0.1160 1.860000
233  0.1165 1.820000
234  0.1170 1.820000
235  0.1175 1.800000
236  0.1180 1.780000
237  0.1185 1.720000
238  0.1190 1.700000
239  0.1195 1.660000
240  0.1200 1.620000
241  0.1205 1.600000
242  0.1210 1.580000
243  0.1215 1.540000
244  0.1220 1.520000
245  0.1225 1.480000
246  0.1230 1.460000
247  0.1235 1.440000
248  0.1240 1.420000
249  0.1245 1.380000
250  0.1250 1.360000
251  0.1255 1.340000
252  0.1260 1.320000
253  0.1265 1.260000
254  0.1270 1.260000
255  0.1275 1.220000
256  0.1280 1.200000
257  0.1285 1.180000
258  0.1290 1.140000
259  0.1295 1.140000
260  0.1300 1.100000
261  0.1305 1.080000
262  0.1310 1.040000
263  0.1315 1.020000
264  0.1320 1.020000
265  0.1325 0.980000
266  0.1330 0.960000
267  0.1335 0.920000
268  0.1340 0.920000
269  0.1345 0.900000
270  0.1350 0.860000
271  0.1355 0.840000
272  0.1360 0.840000
273  0.1365 0.820000
274  0.1370 0.800000
275  0.1375 0.780000
276  0.1380 0.740000
277  0.1385 0.740000
278  0.1390 0.700000
279  0.1395 0.680000
280  0.1400 0.640000
281  0.1405 0.620000
282  0.1410 0.600000
283  0.1415 0.600000
284  0.1420 0.580000
285  0.1425 0.580000
286  0.1430 0.560000
287  0.1435 0.540000
288  0.1440 0.520000
289  0.1445 0.520000
290  0.1450 0.520000
291  0.1455 0.480000
292  0.1460 0.480000
293  0.1465 0.460000
294  0.1470 0.440000
295  0.1475 0.440000
296  0.1480 0.420000
297  0.1485 0.400000
298  0.1490 0.380000
299  0.1495 0.360000
300  0.1500 0.360000
301  0.1505 0.320000
302  0.1510 0.340000
303  0.1515 0.340000
304  0.1520 0.340000
305  0.1525 0.320000
306  0.1530 0.320000
307  0.1535 0.320000
308  0.1540 0.300000
309  0.1545 0.300000
310  0.1550 0.300000
311  0.1555 0.300000
312  0.1560 0.280000
313  0.1565 0.280000
314  0.1570 0.260000
315  0.1575 0.280000
316  0.1580 0.260000
317  0.1585 0.260000
318  0.1590 0.260000
319  0.1595 0.240000
320  0.1600 0.240000
321  0.1605 0.240000
322  0.1610 0.200000
323  0.1615 0.240000
324  0.1620 0.240000
325  0.1625 0.260000
326  0.1630 0.260000
327  0.1635 0.260000
328  0.1640 0.260000
329  0.1645 0.260000
330  0.1650 0.280000
331  0.1655 0.280000
332  0.1660 0.280000
333  0.1665 0.300000
334  0.1670 0.300000
335  0.1675 0.300000
336  0.1680 0.300000
337  0.1685 0.300000
338  0.1690 0.300000
339  0.1695 0.320000
